1375895195 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1375895492 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
1375925504 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
1375925570 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0
1375925613 1 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0
1375932039 1 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0
1376399860 1 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0
1376401620 1 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0
1376401730 1 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0
1376401889 1 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0
1376402909 1 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0
1376403129 1 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0
1376408282 1 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0
1376918966 1 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0
1376926254 1 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0
1376926321 1 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0
1376926352 1 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0
1376926440 1 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0
1376926557 1 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0
1376928808 1 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0
1376930849 1 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0
1376931740 1 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0
1376932040 1 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0
1376933238 2 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0
1376934326 2 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0
1376934332 2 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0
1377263845 2 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0
1377264342 2 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0
1377449890 2 0 0 0 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 0
1377450602 2 0 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0
1377450666 2 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0
1377451209 2 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0
1388344402 2 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0
1388344507 2 0 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0
1388344532 2 0 0 0 0 0 0 0 0 34 0 0 0 0 0 0 0 0 0 0
1388345056 2 0 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0 0 0 0
1388345217 2 0 0 0 0 0 0 0 0 36 0 0 0 0 0 0 0 0 0 0
1388345429 2 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0
1388345507 2 0 0 0 0 0 0 0 0 38 0 0 0 0 0 0 0 0 0 0
1388345653 2 0 0 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0
1388345831 2 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0
1388356777 2 0 0 0 0 0 0 0 0 41 0 0 0 0 0 0 0 0 0 0
1388356824 2 0 0 0 0 0 0 0 0 42 0 0 0 0 0 0 0 0 0 0
1388356904 2 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0
1388356964 2 0 0 0 0 0 0 0 0 44 0 0 0 0 0 0 0 0 0 0
1388362728 2 0 0 0 0 0 0 0 0 45 0 0 0 0 0 0 0 0 0 0
1388362770 2 0 0 0 0 0 0 0 0 46 0 0 0 0 0 0 0 0 0 0
1388362864 2 0 0 0 0 0 0 0 0 47 0 0 0 0 0 0 0 0 0 0
1388362918 2 0 0 0 0 0 0 0 0 48 0 0 0 0 0 0 0 0 0 0
1388363002 2 0 0 0 0 0 0 0 0 49 0 0 0 0 0 0 0 0 0 0
1388363113 2 0 0 0 0 0 0 0 0 50 0 0 0 0 0 0 0 0 0 0
1388363560 2 0 0 0 0 0 0 0 0 51 0 0 0 0 0 0 0 0 0 0
1388366131 2 0 0 0 0 0 0 0 0 52 0 0 0 0 0 0 0 0 0 0
1388366171 2 0 0 0 0 0 0 0 0 53 0 0 0 0 0 0 0 0 0 0
1388366202 2 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 0 0 0
1389053632 2 0 0 0 0 0 0 0 0 55 0 0 0 0 0 0 0 0 0 0
1389201378 2 0 0 0 0 0 0 0 0 56 0 0 0 0 0 0 0 0 0 0
1389201467 2 0 0 0 0 0 0 0 0 57 0 0 0 0 0 0 0 0 0 0
1389202814 2 0 0 0 1 0 0 0 0 57 0 0 0 0 0 0 0 0 0 0
1389203508 2 0 0 0 2 0 0 0 0 57 0 0 0 0 0 0 0 0 0 0
1389203556 2 0 0 0 3 0 0 0 0 57 0 0 0 0 0 0 0 0 0 0
1389203641 2 0 0 0 4 0 0 0 0 57 0 0 0 0 0 0 0 0 0 0
